temperature,humidity,ph,ec,N,P,K,moisture,pump
24.36350297118406,61.33572495953526,7.354460479731143,1.9181080749172497,102.51468880050598,67.43098522149259,92.22202102624254,72.95210970372253,0
38.767857660247905,58.54273143408117,7.788384890169803,1.6870112090813232,38.27215888419744,100.78276341203139,57.28244336375482,73.38298990387486,0
33.29984854528513,26.7949446064505,5.876637645773746,1.0780982200907296,132.7732660529,19.385224631186404,75.24192446524759,26.214912984310686,1
29.966462104925917,48.887347933830945,7.187059348624496,0.3174537660322185,97.77069227434761,19.925041058100298,49.2443468175329,66.63988898617352,0
18.900466011060914,51.613693315009996,7.0011109410031205,1.6398458991321978,36.22252428018882,69.03411143200537,66.70311197881944,78.18900808387477,0
18.899863008405067,52.91759466278303,7.914906318758948,1.0711901691180563,144.91563775996292,113.83354513621265,40.65183436790068,48.049661172195876,0
16.452090304204987,65.61206584591326,8.171304711684412,2.2834424119184447,84.97933755026828,52.72474221263674,37.10431178069008,84.39049694384703,0
36.654403644373375,62.352178270881495,5.042548700170854,0.36465491623030544,24.841291002673426,42.59834152928992,62.04068075525623,74.14813754093313,0
30.02787529358022,67.55335649554112,7.359069716705774,1.8790350905256354,99.62244209603408,74.76927216775687,54.83167067655823,83.89209100852223,0
32.70181444490114,78.54182830794898,5.181425296919052,2.8419804412663767,49.18185244672938,112.00158906267858,62.1582732234983,88.42463615575419,0
15.51461235739506,81.90900171012655,6.921005327770746,0.7709050212010486,123.49861600343583,101.24670077713172,35.79945231583207,95.0,0
39.247746304049855,75.2686153358546,6.006714551652873,1.5734536250266076,125.40597993143574,119.48061523432028,43.02620486352957,68.39460927415041,0
35.81106602001054,91.88665871684543,6.073718098327494,0.546839377906273,147.15789304037935,7.595387068273365,17.550816456601837,95.0,0
20.308477766956905,26.276280787345314,6.235354762083248,1.9893411631056521,82.75238668830801,17.978686641967656,14.704873504498515,58.93829602869192,0
19.545624180177516,38.70445899784823,7.174523571673635,1.7864355376098093,76.4191787632445,75.08879278716154,32.81114167057146,62.6076251919639,0
19.585112746335845,25.52940124846995,6.169174879840693,1.3998869153746474,116.71920673527488,99.36629052339272,16.68221733974912,56.69018805672658,0
22.60605607398844,70.32322999082221,7.564446677065981,1.7077179579791013,32.88353860616009,37.80309936527815,19.339723777126665,95.0,0
28.11891079080595,87.86213842649909,6.415845849508544,2.7207515778663276,88.83359436207176,32.509275123935154,83.16355648545434,95.0,0
25.798625466052894,42.043760760340945,5.239236201084855,0.829994616239881,88.74342601766487,95.5022169288381,13.498632731502038,68.09622589024666,0
22.28072850495105,89.89241813574147,7.743159448694375,0.3609241816044375,27.078871579402275,11.483913193121632,69.30485145412685,95.0,0
30.296322368059485,29.21871732026926,6.000154136074471,2.6264951886875725,71.42785154343333,47.479004471997285,34.53019739338605,37.2070698838832,1
18.487346516301045,90.410521876386,6.514684078597419,1.8582161224473477,130.19344780657227,63.16806059811792,88.43911126373138,95.0,0
22.303616213380455,49.61358810677441,7.3990535912766555,2.7047778297469747,130.58073896927914,69.44009755028719,53.64930561197496,81.43846814364092,0
24.159046082342293,32.099457991445156,6.163596550020492,1.9117521032155662,28.397084764156936,88.79074303116934,37.501881339504315,41.08765189180938,1
26.4017496054259,59.01102314304279,5.198049796513505,2.4874349428911966,27.247319170957166,45.807258194525694,56.587504212049105,71.38158025726399,0
34.62939903482534,42.97435974043556,6.308723664544848,1.4601180810588996,50.46388939526126,75.45869963757983,44.37622171407419,49.356914963286144,1
19.991844553958995,44.94110313733459,8.305570039430062,2.3246218144783257,133.0934184447891,72.31817362095998,60.78709582028472,71.5617045005226,0
27.85586096034029,46.51029754484006,7.246070390544954,2.765211960602611,32.40184898492235,67.97585157518091,20.30795814937134,68.20803255663616,0
